source,type,dochead,sender,receiver,docbody,year,month,date,dateISO8601,location,docbody_wordcount,Yearindecimal
"NA: OIA, SW Lets. Sent, Bk. E",Correspondence,THE SECRETARY OF WAR TO PETER PELHAM,THE SECRETARY OF WAR,PETER PELHAM,"CAPTAIN PETER PELHAM Sub. Agent IA. S."" Augustine. E Florida. SIR, Your letter of the 21"" Ultâ€ has been received.â€ I regret very much the ill state of your health and cheerfully grant the leave of absence which you request,â€ to enable you to take the advice of the Physicians of Philadelphia. You will make such arragements with Cap"" Bell as may be necessary for the transaction of all business relating to the Indians during your absence, or until the arrival of Col Humphreys who has been appointed the Indian Agent for Florida, of which Capt Bell has been apprized. You will advise the Governor of Florida of your intended absence and of the arrangements which you make with Cap"" Bell."" I have &c. J. C. C.",1822,June,24,1822-06-24,DEPARTMENT OF WAR,127,1822.0624
"NA: SD, Misc. Letters:ALS",Correspondence,JAMES C. BRONAUGH  TO FONTAINE MAURY,JAMES C. BRONAUGH, FONTAINE MAURY,"MY D* SIR, I take the liberty of enclosing you an account of M"" Peter Alba "" who acted as translator and Interpreter to Col. Walton from the time Gn' Jackson left this, until the arrival of Governor Duvall on the 20"" Inst: M* Alba is one of the most respectable Spaniards here and is perfectly well disposed towards the Government. In making out his account, he has charged Three Dollars per day but will be satisfied with any compensation which the Secretary may think proper to allow him. He states that the duties which he had to perform as translator and Interpreter interfered much with his regular business, and that although he was not constantly engaged in the performance of those duties, yet that he at all times held himself in readiness to act when called upon. Col: Walton will explain to you the extent of the duties which he rendered. As M*Alba is the only one of the old Inhabitants, who has been employed by the Government here, I think it will be good policy to make him a liberal allowance for his services. You will confer a favor upon him by laying his account before M*Adams and sending him addressed to this place a Draft for the amount which he may allowâ€”He will prefer a draft upon New Orleans. The Legislative Council has not yet proceeded to business, only five members being present We have not heard a word from the other eight, it is therefore uncertain when we shall form a quorum. I am Dr Sir with gâ€ respect y' friend & Ob""S"" J. C. Bronaugh COL: MAURY [Endorsed] Bronaugh J. C. Pensacola 27* June 1822 Rec"" 23 July enclosing M* Alba's Acco""",1822,June,27,1822-06-27,PENSACOLA,287,1822.0627
"NA: SD, Misc. Letters:ALS",Correspondence,ABRAHAM BELLAMY  TO THE SECRETARY OF STATE,ABRAHAM BELLAMY, THE SECRETARY OF STATE,"JOHN Q. ADAMS Esq'. SIR. I enclose a Memorial of the People of St. Johns River, desiring the Port of Entry at Jacksonville And by request, I take leave to offer my reasons why it should be established at said place I do so not because the Petition is not sufficiently explanetory of the Situation & Condition of Jacksonville or that, this, would be an additional recommendation but that you may not be deceived, by information which you have or will soon receive, Since the within has been in circulation, its understood, that you have made application to M Rodmon of St. Augustine, for information, respecting the most eligible place, he doubtless, has made application to a couple of Gentlemen, who are guided alone by pecuniary motives in the selection, for the place called the Bluff, which it is said they recommend is as unsuitable, as a comparison between the places would be ridiculousâ€”True; its below Jacksonville, but Shipping will be forced to remain in salt water, and the width of the river renders it extremely unsafe, it is surrounded by extensive inaccessible Swamps & Country so low on each Side of the river, that's impossible to have any other communication to it, than by water, for half Century Jacksonville is now in a flourishing Condition & you will observe by the Petition that the people are unanimous in centering their exertions, they therefore rationally expect, & confidently trust, (as it will be the means of attaching some importance to the place that you will contribute thus far to their & the public interestâ€”The central situation, the health & beauty of the place, the fertility of the River, the facility of trade, Combine, in inducing them to beleive that the period is not far distant, when a City shall arise to bedeck our forest with beauty & Grandeur Respectfully Your Most Obt Serv"" ABRAM BELLAMY St Johns County St. Marys River [Addressed] John Q. Adams Esquire Secretary of State Washington [Postmarked] Jul 7 Free [Enclosure: DS] Petition to the Secretary of State by Inhabitants of St. Johns River 15* June 1822 THE HONB"" JOHN Q. ADAMS SIR, We the undersigned inhabitants of St. Johns River, perceiving by the Act of Congress 30* March,â€ a provision made for establishing a port of Entry on Said Riverâ€”Respectfully submit for your Consideration Jacksonville as the Most eligable cituation, twenty Miles from the Bar, on the North side of the River, Where the Public road from Georgia to St. Augustine crosses, the only place now on the River, that's in a flourishing condition, with this recommendation we confidently trust in your better Judgmentâ€” Abraham Bellamy S. E. Buckles JW Robarts, Jno. R. Hogans Daniel Kemp Calvin Weatherby Dempsey Bynom Charles Ballard Isaiah, D, Hart Joseph Brown Vinson Davis Isaac Tucker Joseph Andrews Francis Lee Dan' Hogans Hezekiah Tucker John Ford Henry Troutman Dan'C, Hart William Nelson D. S. H. Miller And"" Mirick Peter Bagly Joseph Wilson Manuell Checaco William Evens Rufus, R, Tucker John Brady James Brady L, Z, Hogansâ€” Tho"" BrOWn Jr James Rowse Adam Wall Martin Bronson Charles Hogans F: Richard Humphry Leary Benj Cozzens Ja"" McCormick Châ€ Meduke Deuer William Munrow James G, Smith James Marshall Wm. Black Levi Sparkman Ezekiel Smith William Parker J. D. Bludworth John G, Rawls Cyrus Briggs James Dell B M Dell Simeson Dell Elias Kemp John T. Lowe Patrick Price - Horatio Lowe Micajah Simmons Enoch Daniel John Bellume Wm Daniel Elijah Christie Wiley Daniel John Moore E Daniel Jun"" Mich Andrew Cha"" Love Francis Andrew Shad"" Standly Peter Segee Jesse Lain Minor MOOre Robert Hutchinson Jesse Youngblood Matthew Philips Robt. Youngblood Cotton Rowls Jun"" Richard Mithel John Price Daniel Scurry",1822,June,29,1822-06-29,,616,1822.0629
"NA:SD, Misc. Letters:ALS",Correspondence,SAMUEL FRY  TO THE SECRETARY OF STATE,SAMUEL FRY, THE SECRETARY OF STATE,"HON. JOHN QADAMS, Secretary of State. SIR, I have been advised by Col. Walton to forward to your Department my account for services as Private Secretary in this province, in order to its settlement & I have therefore the honour now to enclose it together with the certificate of Col. W. In affixing a price to my services I have been guided by that which I am informed was allowed to Doctâ€”Bronaugh and Capt Call for similar and not more arduous services; I am conscious withal that I accepted the appointment with the understanding that the President would thereafter affix the compensation and I submit myself confidently to his decision.â€ I have the honour to be Your obedient humble servant SAM FRY [Endorsed] Fry Samuel Pensacola 29* June 1822. Rec"" 23* July enclosing his acco"" â€¢-",1822,June,29,1822-06-29,PENSACOLA,136,1822.0629
"NA:SD, Misc. Letters:ALS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF STATE,GOVERNOR DUVAL,THE SECRETARY OF STATE,"SIR I have the honour to acknowledge the recipt from your department of six voll"" of the Laws of the United States * The members of the Legislative counsel from East Florida have not yet been heard from there are but five members of the counsel hereâ€” we do not know who our judge for the superior Court is. since we have understood M. Branch has declined the officeâ€”we all hope that Henry M Brackenridge will be appointed Our Judge, no man can be found who is better quallify"" and who would be so acceptable to the People here * No society ever stood more in need of a court than ours I do hope that some person will be sent here as early as possible to discharge the duties of Judgeâ€”It seems that Congress has made no provision for the Collector or surveyor of this port. that will keep them from Starvingâ€”what provision can be made for the sick seamen who come here? If the counsel should not meet, great confusion and dissatisfaction will prevailâ€”much now exhists * I am with sentiments of high respect and Esteem your Obt Sev"" Wm P. DUVAL HON' JOHN QUINCY ADAMS [Addressed] Hon"" John. Q. Adams Secretary of State Washington [Postmarked] Pensacola July 1. Free [Endorsed] Duval W* P. Pensacola 30"" June 1822 Rec"" 23 July The Legislative Council has not yet met-",1822,June,30,1822-06-30,PENSACOLA,230,1822.0630
"NA:SD, Misc. Letters:ALS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF STATE,GOVERNOR DUVAL,THE SECRETARY OF STATE,"SIR I enclose to you a memorial of three of the judges of the County of Escambia, with the cirtificate of the Secretary. Col."" Walton, I have no personal knowledge of facts contained in the memorial But have no doubt from information they are correct It is submitted to President of the United States, what ought to be the compensation allowed to these Gentlemen * Yours with high respect & esteem Wm P. DUVAL HON"" JOHN Q ADAMS Secretary of State [Endorsed] Duval Gov"" Pensacola, 1 July 1822 Recd 25th. with a memorial of Judges Shannon and others to the President. [Enclosure: DS] Memorial to the President from Escambia County Court Justices [June 25, 1822] To his Excellency James Monroe, President of the United States, The Memorial of David Shannon, Presiding Judge, and John W. Garnier, and E. B. Foster, Associate Justices of the County Court of Escambia, in West Florida, respectfully represents: That your Memorialists were appointed on the establishment of the County Court by His Excel Governor Jackson, and have ever since (now nearly ten months) continued to discharge the duties of their respective Offices. That nearly the whole of the business of the Court has devolved upon them, one of their Associates having died shortly after his appointment, another having attended but once or twice since his appointment, and the other, M. Cary Nicholas, having been subsequently appointed, sat but two or three terms. Your memorialists further represent, that all the judicial power of the Province, excepting in small cases before justices of the Peace, and in cases of appeal to the Governor, centered in the County Court;â€”that this Court, which sat monthly, was generally engaged from one to two weeks in hearing civil and criminal causes which arose in the County, and in superintending all matters of police out of the city; that the Presiding Justice was daily called upon to make orders according to the Spanish practice in the commencement and the progress of suits;â€”that there being no power in the Province to levy a tax to support the necessary expences of the local government, Your memorialists were allowed certain fees to be taxed in the causes brought before them, but which have been found very inadequate to compensate them for their services: the whole amount received by the Presiding Judge being little more than one hundred Dollars, and by each of the other memorialists not more than half that sum:â€” that the discharge of these duties of primary importance in the Province by the Memorialists has greatly interfered with their private concerns, and caused them much personal inconvenience and loss of time. They therefore humbly hope that the President, taking their case into consideration, will allow them a reasonable compensation, out of the fund placed at his disposal in the act of the 3"" of March 1821, providing for the occupation and temporary government of the Floridasâ€”the services rendered by Your Memorialists having been indispensably necessary to the good government of the same. D. SHANNON. JNÂ° GARNIER E. B. FOSTER Pensacola June 25"" 1822â€“ The undersigned, members of the bar of Pensacola, beleive the facts set forth in the foregoing memorial to be correct, and are of opinion that the prayer is just and reasonable- H: M: BRACKENRIDGE SAM1 FRY A. GORDON J. H. CHAPLIN R. K. CALL. WA* L HANNUM R. J. EASTER Pensacola June 29"" 1822â€“ The foregoing â€œMemorialâ€ having been submitted to me, and having given it the attention which it deserves, I am well satisfied that it contains a true statement of facts, and in my opinion a reasonable compensation ought to be allowed the memorialistsâ€” GEO WALTON Secy of the Tery Florida",1822,July,1,1822-07-01,PENSACOLA,613,1822.0701
"NA: SD, Misc. Letters:LS",Correspondence,SECRETARY WALTON TO FONTAINE MAURY,SECRETARY WALTON,FONTAINE MAURY,"SIR/I now forward in pursuance of your intimation,â€ the accounts of my necessary expenditures while acting Governor of West Florida, with such vouchers as I have been enabled to procure. The enclosed letters of ColÂ° Fenwick and Capt"" Thornton are intended as explanatory of the charge for house rent paid Antoine Collins and Antonio Molino. This subject has been already explained by me to the Department of State. I have left blank the charge for extra services rendered, and expenses incurred by me while Acting Governor of this Province. In several of my letters to M' Adams, I have taken occasion to explain myself on this subject.â€ I throw myself entirely upon the justice and liberality of the President. When it is considered that my situation of Acting Governor was materially different from that of Secretary, I flatter myself that my claim will not be considered as unreasonable. As Acting Governor I was unavoidably compelled to see many strangers, and it was but decent, and proper, that some civilities should be shewn them. My actual expenses were at least treble what they would have been, had I continued to exercise only the Office of Secretary. The expense of living is even greater here than at New Orleans; and besides, the example of General Jackson, who was remarkable for hospitality, rendered it almost impossible for me to pursue a course entirely different, without giving offence, and even without lessening the respect for the Station, at a period when many circumstances combined to render it necessary that it should be maintained. I have observed the strictest economy in every thing which might become a charge on the Government; instead of renting an Office distinct from the House in which I live, I have made one of the rooms in it serve the purpose, not a little to the inconvenience of my family.â€ In addition to what I have just mentioned, I trust the President will take into consideration the various and troublesome duties which were devolved upon me, (according to the existing Spanish Laws and usages) while in the exercise of the Governmentâ€”Upon the whole I feel confident the President will be of opinion that an allowance for extra services, while exercising the Government, is but reasonable.â€ I have the honor to be Very Respectfully, Sir Your most Obdt Serv't GEO. WALTON To FONTAINE MAURY Esq"". Department of State Washington. [Enclosures:ALS] Arthur W. Thornton to Secretary Walton PENSACOLA 6* July 1822 SIR In compliance with your request, that I would state to you the Amount that it would have cost the Government of the United States to have Rented Quarters for the Officers and Troops of the Army, who have been quartered in the House, and buildings attached theretoâ€”known as the Government Houseâ€”in Pensacola: I state, that to have Rented Quarters, for the Officers, the Non Com"" Staff, and Music of the 4"" Reg InfÂº, who have been quartered in the Buildings alluded to, at the rate which we have been compeled to pay for the Rent of other Quarters for Officers who could not be accommodated with Public Quarters, it would have cost the Government at a moderate calculation, $80.00 per month. We have occupied these Quarters, since the occupation of this Post by our Troops in July 1821. I am Sir With Great Respect your Obt: Servt: A. W. THORNTON L'A. C. S. & A"" Q Mr COL: GEORGE WALTON lateâ€”Actâ€ Governor of W[est Florida] [Addressed] Colonel George Walton lateâ€”Actâ€ Governor of West Florida [Endorsed] George Waltons Letter & Accounts &c John R. Fenwick to Secretary Walton PENSACOLA July 7* '22. SIR. Upon your Demand the Government Houseâ€”in this City would certainly have been given up to you, the Governor of the territory having authority to occupy itâ€” I am Sir with great Esteem & Respect Your obed"" JOHN R FENWICK Col. 4th arty To COL. GEORGE WALTON [Addressed] To. Col. George Walton [Enclosure:ADS] Bill Presented by Antonio Molino The United States To Antonio Molino Dr 1822 July 1st To house rented to & occupied by Col. George Walton from 1st day of December 1821 to this date @ $50 p month $350.â€” I hereby certify that I did occupy the house charged for in the above account, and for the time specified GEO WALTON Received of George Walton Esquire the above sum of Three hundred and fifty dollars, this 1* day of July 1822. For, & by absence of Antonio Molino PETER ALBA (signed Duplicates)",1822,July,7,1822-07-07,PENSACOLA,746,1822.0707
"NA: SD, Misc. Letters:ALS",Correspondence,ALEXANDER HAMILTON TO THE SECRETARY OF STATE,ALEXANDER HAMILTON,THE SECRETARY OF STATE,"SIR I take the liberty to inform you, that Mr Worthington leaves this for the north on the 10"" with the intention of remaining absent until the middle of October, and in the mean time, transfers the public property to the use and charge of James G Forbes Esqr. As M* Worthington, avowes his intention, to apply for permission, to give his bonds in Baltimore,â€ I would suggest to the consideration of the Department, whether such permission would comport with his relative connection to Individual Suitors. On this subject, this community has cause to be very sensitive- The Government House is, the only public building, adapted to the accommodation of the Superior Court, and other public offices, and this disposition of it is, the more important, as the inhabitants are predisposed, to form their estimate of the value of public institutions, by their ostensible respectability The Court, the Clerk of the same, the Alcaldes Office and Jurors and witnesses could all be accommodatedâ€”As in the event of the arrival of Judge Smith we shall want some such situation, will you be pleased to present this subject for the consideration of the Presidentâ€” I have the honor to remain with much respect Your Ob H Ser* ALEXANDER HAMILTON THE HON JOHN QUINCY ADAMS Sec of State PS. As I shall remain here during the sickly season I should be much gratified with a permission to occupy the front room of Government Houseâ€”",1822,July,8,1822-07-08,ST. AUGUSTINE,241,1822.0708
"NA:SD, Dom. Letters, XIX.",Correspondence,FONTAINE MAURY TO JAMES G. FORBES,FONTAINE MAURY,JAMES G. FORBES,"JAMES GRANT FORBES Esquire SIR I have received your private Letter of the 4â€ Ult.* and communicated to the Secretary that part of it, which relates to your ac"" as Marshal of the Floridas who desires that you will send forward a statement of your claim against Government for your Services as such; which should commence on the 9"" day of October, when your Compensation as Agent &c to the Havanna ceasedâ€”The better way will be to leave the charge for your services Blank, and give credit for the amount of fees which you may have received from time to timeâ€”M"" George Murray and others have received compensation for their Services as Municipal Officers, and it is understood that future claims properly authenticated will also be paid on presentation at this Department, for similar servicesâ€ I am with great Respect Sir, your very humble and ob"" Servant FONTAINE MAURY Ag""",1822,July,10,1822-07-10,Department of State WASHINGTON,150,1822.0710
"NA:SD, Misc. Letters:LS",Correspondence,NATHANIEL A. WARE AND SAMUEL R. OVERTON TO THE SECRETARY OF STATE,NATHANIEL A. WARE AND SAMUEL R. OVERTON,THE SECRETARY OF STATE,"SIR, We have received our Commissions as Commissioners â€œfor ascertaining claims and titles to land within the territories of Floridaâ€,â€ of which you will receive this notification as an acceptance. Colo. Preston has not yet reached Pensacola, nor have we received any intelligence of him upon which we can predicate any confident calculations as to his arrival.â€ A Board has, however, been formed, and we shall proceed on to-morrow in the execution of our duties. 32 Not found. For many documents which would have shed, it is presumed, much light upon the claims submitted for adjudication, we feel ourselves greatly at a loss. It is doubtful whether we shall be enabled to procure an authentic copy of the treaty between Spain and Great Britain in '83, unless it should be exhibited by the claimants themselves. There are no other means within our reach of obtaining the English statutes making compensation to her citizens for lands, upon their removal from this country, in consequence of a change of government. Even a copy of the land laws, published by the authority of Congress, have not yet been transmitted to us, nor have we received any assurances that such will be the fact. In a territory so remote, and where libraries are very limitted, we shall be necessarily subjected to great difficulty in procuring those means of information, and in some cases, it is to be feared, we shall not succeed at all. Under such circumstances, we respectfully suggest to you the propriety of having forwarded to the Commissioners all documents filed in the different departments, touching the adjudication of land claims in this territory, and which would afford any facilities in enabling us to distinguish private property from that which rightfully belongs to the United States. We have understood that there is a British plat of the town of Pensacola in the Secretary of State's office, which it might be of importance we should have in our possession; as also a plan of St. Augustine, if to be found amongst the public archives. Believing that most of the vouchers referred to are within the controul of the Secretary of State, we have addressed you this communication, submitting its propriety entirely to your determination.â€â€” We are very respectfully, Yâ€™ mo. obt. Serts. NATH. A. WARE SAM"" R. OVERTON. J. Q. ADAMS, Secretay of State. [Addressed] Honâ€ John Q. Adams, Secretary of State, Washington City. Mail. [Postmarked] Pensacola July 15. Free [Endorsed] Ware, Nath'A. & Overton, Sam R. Pensacola, 14 July 1822 Rec"" 7 Aug"" Have rec"" their commissionsâ€”Documents wished respecting Land Claims in Floridaâ€”Rec"" 7 Aug"" 5-",1822,July,14,1822-07-14,PENSACOLA,434,1822.0714
"NA:SD, Misc. Letters:LS",Correspondence,JOHN RODMAN TO THE SECRETARY OF STATE,JOHN RODMAN,THE SECRETARY OF STATE,"SIR, In conformity with the 4"" and 5* Sections of the Act of Congress. of 2* March 1819,â€ I have now the honour to transmit herese No reply found. See post, p. 514. st 3 STAT. 488â€“489. with enclosed, a list of all the passengers in vessels which arrived in this District from foreign places, during the quarter ending the 30"" June last * By the 4* Section of the act of congress of 20* April 1818,â€ relative to the publication of the Laws of the United States, I perceive that each Collector of the Customs is entitled to one copy of the Laws published at the close of each Session of Congress. I have also understood, though I do not find that the act expressly authorises it, that the Collectors have each received a copy of the Edition of the Laws previously published by Bioren & CÂ°. Not having received any of these publications of the Laws, since I have been in Office, may I take the liberty to call your attention to the Subject, and to beg you to give directions that they may be Sent to me? With great respect I have the honour to be Sir, Your obedient Servant JOHN RODMAN Collector of St Augustine [TH]E HONâ€ JoHN QUINCY ADAMS Secretary of State Washington. P. S. I take the liberty to mention, with great respect, that Col. Smith, appointed to the office of Judge of the Territorial Court here;"" and who was, by law, to open his Court on the first Monday of this month, has not yet reached this place, and that information has lately been received here, stating that he did not intend to come â€™till next Fall: This circumstance has occasioned very general dissatisfaction in this Country. A Judge is indeed, much wanted here. The County Court established by the ordinances of Governor Jackson, has ceased to exist. There has been no Court held here for some time past. Two of the County Judges have resigned and the other three live at a considerable distance in the Country and do not intend to hold any more Courts, having doubts as to their powers. Nor is there any Marshall or Sheriff here. Mr Worthington, lately appointed to the former office,"" h(as] left this place, with his family, for Maryland, without having appointed any deputyâ€”and the Sheriffâ€ having been appointed one of the Legislative Council has gone to Pensacola.â€ with great respectâ€” J. RODMAN [Addressed] The Honâ€ John Quincy Adams Secretary of State Washington - [Endorsed] Rodman J. St. Augustine, 15 July 1822. Recd 3rd Augt. Copy of the Laws. POST ROUTE ADVERTISEMENT [PO:Proposals for Mail Contracts, 1816â€“1823 *] [July 16, 1822] Proposals For carrying Mails of the United States on the following Post Roads will be received at the General Post-Office, in the City of Washington, until the 12th day of October next, inclusive. IN FLORIDA.45 365. From Road Forks, township 2, range 5, to Pensacola, 80 miles, once a week. Leave Road Forks every Monday at 1 p m and arrive at Pensacola on Wednesday by 10 a m. Leave Pensacola every Wednesday at 2 p.m. and arrive at Road Forks on Friday by 11 a m. 366. From Pensacola, by St. Marks, Volusia and Picolatta, to St. Augustine, once a month, 460 miles. Leave Pensacola on the first Wednesday in each month, at 2 pm and arrive at St. Augustine in 14 days on Wednesday by 10 a m. Leave St. Augustine same day at 2 p m and arrive at Pensacola in 14 days, on Wednesday by 10 a m."" 367. From Jefferson, G. by Colerain and Cowford to St. Augustine, 97 miles, once a week. Leave Jefferson every Tuesday at 5 a m and arrive at St. Augustine on Thursday by 10 a m. Leave St. Augustine every Thursday at 2pm and arrive at Jefferson on Saturday by 6 p.m. 367. From Pensacola, to Fort Hawkins, G. once a month. Leave Fort Hawkins the first Wednesday in each month at 6 a m and arrive at Pensacola in 11 days, on Saturday by 5 p.m. Leave Pensacola the next day at 8 a m and arrive at Fort Hawkins in 11 days, on Wednesday by 6 p.m.""",1822,July,15,1822-07-15,Custom House ST. AUGUSTINE,707,1822.0715
"NA:SD, Misc. Letters:LS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF STATE,GOVERNOR DUVAL,THE SECRETARY OF STATE,"SIR I have the honor to acknowledge the receipt of the Commission to Greenberry Gaither * and George Murray * Esqr""â€”Mess Law, Reynolds, Hanham and Gaither, sailed from St Augustine about 59 days since for this port.â€ Ten days ago they were hailed by the Brig Hero off this port, but before they could pass the bar, a violent storm arose, which lasted three daysâ€”several vessels have been wrecked on Horn Island, off Mobile Point, whose crews and passengers were savedâ€”The Lady Washington, the Sloop in which the gentlemen of the Counsel sailed, has never been heard of since. I have but little doubt the Sloop and every soul perishedâ€”I have lost a brotherin-law M'. Hynes ""who was also a passenger, if the vessel has foundered. This will be a serious misfortune to our Territory, To this circumstance, we have not been able to form a Quorum to do business. Mâ€ Henry M. Brackenridge, having accepted the Office of Judge under the United States,â€ has resigned his seat in the Council, as well as M. Joseph M. White,â€ who is appointed Secretary to the board of Commissioners, two of whom are now doing business here. In the place of these Gentlemen, I recommend Messâ€ John de la Rua and Joseph Noriega,â€ two of the Spanish inhabitants of this place, who are men of information and integrity, and are looked up to by the Spanish population as their first men here. Judge Brackenridge, Dâ€ Bronaugh, M Walton the Secretary and myself all concur in wishing them to be appointed of the Council. This would have an excellent effect in attaching the Spanish inhabitants to our Government; I have found those people much more orderly than the Americans who are here, and I do not believe I ever have seen a more moral or better people, they can be easily governed, if treated with kindness and confidence. If the President and yourself will second me in my efforts, I think you will soon see a happy union among the People of Florida. As it is the general impression that our Members of the Council from East Florida are lost, would it not be best to send on a Commission appointing others, which should be void in the event of their arrival here. I have not heard one word of Mess"" Gibson, Macon, or Lytleâ€” great inconvenience is felt here for want of the Council. There are but three of the Council now here, & seven are required to make a majority."" Yours with high respect & Esteem. Wm P. DUVAL HONâ€ J. Q. ADAMS Washington Should the President think proper to send on a commission, for other gentlemen as counselersâ€”I recommend Green, B. L. Bush, William Davidson Wâ€ D. Simmes & Henry Wilson W* P. DuVal If the Post master at Millageville was directed to send on the commission by an expressâ€”it would reach this place 10 days sooner than by the mail. [Addressed] Honâ€ John Quincy Adams Secretary of State Washington City Favd by Mr. Smith [Endorsed] Duval Gov"" Pensacola 17 July 1822 Recd 17th. State of things at Pensacola &c. Comms to be made out for the two Spaniards.""",1822,July,17,1822-07-17,PENSACOLA,529,1822.0717
"NA:WD, SW Lets. Sent, Mil. Bk. 11",Correspondence,THE SECRETARY OF WAR TO DUNCAN L. CLINCH,THE SECRETARY OF WAR,DUNCAN L. CLINCH,"COL D. L. CLINCH U. S. Army Pensacola SIR, The Executive of Florida has represented the necessity of some of the publich buildings at Pensacola being appropriated to Civil purposes, and has applied for a division of them between the Civil and Military Departments. Not having an Inventory of those buildings as received from the Spanish authorities, a particular division of them cannot be directed by the Department. I have therefore requested the Governor to confer with you on the subject, and you will surrender to him such buildings as are not clearly military as he may think necessary for the Civil Department. If it should be necessary to rent additional buildings in consequence of this order, the Quarter Master will receive the necessary directions from the proper Dept.â€ J.C.C.",1822,July,17,1822-07-17,DEPARTMENT OF WAR,130,1822.0717
"NA:WD, SW Lets. Sent, Mil. Bk. 11",Correspondence,THE SECRETARY OF WAR TO GOVERNOR DUVAL,THE SECRETARY OF WAR,GOVERNOR DUVAL,"HIS EXCY WILLIAM P. DUVALL GOV of Florida Pensacola SIR, I have had the honor to receive your letter of the 21"" ulto;â€ and in reply to that part, which relates to the distribution of the publick buildings at Pensacola among the Civil and Military, I have to remark, that not having received an Official Inventory of those buildings as handed over by the Spanish authorities, it is impracticable for the Government to direct a particular division of them between the two Departments of Service. Relying therefore on your friendly disposition towards the Army, and believing that you will require such buildings only, as are indispensable for, and will best answer civil purposes, I have instructed the commanding Officer of the troops, Col. Clinch to arrange such a division with you as will be satisfactory. I enclose a copy of my letter to Col. Clinch. In relation to that part of your letter requesting instructions relative to your â€œpowers and duties as Superintendent of Indian Affairsâ€ I must refer you to my letter of the 11"" ultimo,â€ which it is presumed you have received before this time. As it relates to the location of the Indians, it is the intention of the Department to locate them in the fall in some favorable position in the Northern part of East Florida near the Appalachacola. The enclosed copy of a letter to Captain Morris of the 28"" May last "" in relation to the issue of rations will give you the views of the Department on that subject. Copies of the instructions to your predecessor relative to Indian Affairs will be transmitted to you as soon as they can be made out. I had supposed they had been passed over to you, or they would have been transmitted with my letter of the 11"" Ultimo.â€ J. C. C. 5-",1822,July,17,1822-07-17,DEPARTMENT OF WAR,307,1822.0717
"NA:WD, Sec. War Lets. Recd., D 22:LS",Correspondence,GOVERNOR DUVAL TO THE SECRETARY OF WAR,GOVERNOR DUVAL,THE SECRETARY OF WAR,"SIR. I had the honor of receiving by the last mail your letter of instructions on Indian Affairs, dated the 11* day of June last,â€ together with the several Acts of Congress for the regulation of trade and intercourse with the Indian tribes. I shall be careful in not exceeding in manner the expenses set apart by you for the Florida Indians, and in all cases, shall submit to your directions, without pretending to judge of the effects they may produce. The Indian Agent has not yet reported himself. It is desirable he should be among the Indians with as little delay as possibleâ€”The Indians in Florida are in a wretched state, not Knowing what part of the Country will be claimed by the United States, or what section they will ultimately be allowed to occupy. The Indians raised little er Hething during the last year and I fear they will raise for their subsistence still less the present Season. Such is their distress that they have dug up miles of the Country in order to procure the brier root to subsist on. If the Government intend to give them any support in their present distressed situation, the amount allowed to be distributed in rations, will amount to very little. It is important to locate the Indians speedily, whether we regard their comfort and happinessâ€”or the interests of the United Statesâ€” The various claims of individuals to grants of Land in almost every part of Florida, Keeps the Indians in continual alarmâ€”The settlers are crowding in their claims to the lands promiscuously, and fixing their habitations where they choose; I Know the people may be removed by Military force but until some tract of Country is allotted to the Indians, to remove them they must be driven out of the Territory. The sooner Gen' Jackson's talk"" with them can be carried into effect by the Government, the betterâ€”and I cannot forbear urging this measure as one of vital importance to the interests of Florida. I will thank you to transmit to me the documents laid before Congress at the Session, containing the accounts and settlements of the several Superintendants and Indian Agents with your department. If the Military force in Florida were employed in opening a road from this place to St Augustine, it would be of great importance; in case of war, it would be absolutely necessary.â€ With sentiments of high respect. Yr Obdâ€™t Serv't. Wm P. DUVAL. HONâ€ JOHN C. CALHOUN. Secretary at War [Endorsed] Duval. W. P Pensacola, 18 July, 1822 relative to the State of the Indians in Floridaâ€”recommends enforcing G"" Jackson's talkâ€”requests some Documentsâ€”Suggests employing the Mily in opening a road from Pensacola to S' Augustine THE ATTORNEY GENERAL TO THE SECRETARY OF STATE [NA: JD, Opins. Atty. Gen., Bk. B ""I NÂ° 238. Grants of Lands in Florida by the King of Spain Office of the Attorney Gen' of the U. States July 19â€“1822 SIR. My answer to your communication of the 3"" "" has been delayed by absence from the city, to which I have just returned. Doctor England states the law correctly. There can be no doubt of the power of the King of Spain to grant lands in Florida while the Province was his; nor of the capacity of the Roman Catholic Church to take by grant. Our treaty with Spain recognizes and ratifies all such grants made prior to a certain day. The only question in this case is a question of fact. Did the King of Spain grant these lands to the Roman Catholic Church prior to the time stipulated? on this, which is the only question in the case, there is no evidence before me. If it is intended that I am to take Doctor England's statement of facts as correct, I am of the opinion that he is right in his conclusions of law: if otherwise, it will be necessary that I shall be furnished with a report of the facts, which, I presume, the attorney for the U. S. for the territory of Florida can readily furnish; or the whole subject can be remitted to that officer"" for his opinion, which, I would respectfully submit, is the better course, because the evidence is more easily accessible to him, and because the archives of that province will give him a better understanding of the characters of spanish grants and the laws by which they were regulated than we can possess here. I remain, Sir, &"" &â€ & & W W. JOHN Q. ADAMS Esq.r Department of State.",1822,July,18,1822-07-18,PENSACOLA,760,1822.0718
